MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
1098M,City Road Baptist Chapel,359130,173842,Baptist chapel,PM2,Post-medieval 1700-1900,,,,, ,1,,"Religious, Ritual and Funerary",Nonconformist chapel,Baptist chapel,"City Road Baptist Chapel, City Road",,,39010,"City Road Baptist Chapel, located on the north-eastern side of the junction of City Road with Upper York Street. It was erected in 1861 and is a two storey structure of squared, coursed Pennant sandstone with limestone ashlar detailing.
The main entrance is set in a Romanesque arch with the legend ""City Road Baptist Chapel 1881"" above the door. Carved into the plat band is the Biblical text ""Strive to enter in at the strait gate"" (Luke Chapter 13, verse 24).
In 2003-2004 conservation works were undertaken to the chapel.","(51.462066, -2.5896843)"
1099M,"S Shed, Narrow Quay",358583,172630,Transit shed,PM2,Post-medieval 1700-1900,,,,, ,0,,Unassigned,Building,Shed,Narrow Quay,,,35744,"S Shed, Narrow Quay. The transit shed stood along Narrow Quay. The centre of the structure was a closed shed with the elements at the north and south ends being open-sided.
Elements of the shed survive in the cobbled surface of Narrow Quay.","(51.451129, -2.5974152)"
1101M,Guest house of the Franciscan friary,358712,173388,Guest house,Med,Medieval 1200-1540,,,,, ,0,,"Religious, Ritual and Funerary",Guest house,Guest house,"The Abbot's House, Blackfriars",,,35768,"A medieval stone building was identified during archaeological excavation at Deep Street in 1989 (BUAD 444). The building was a ground floor hall which was built on a terrace cut into the south facing hillside of rubble construction and measured approximately 8.5 by 5.5 metres. A fourteenth-century open hearth with a stone surround was found in the centre of the building. The hearth was constructed of over 400 ceramic floor tiles pitched on their sides. A small stone drain was found running west to east through the middle of the building. The excavator interpreted the structure as the lodge of the warden or the guest house of the Franciscan friary in Lewin's Mead.
The building was demolished in the early modern period and a secular domestic building constructed on the rubble. The remains of the south wall of the building were destroyed by construction of the revetment wall bounding the site.","(51.457954, -2.5956476)"
1118M,Redcliff Corn Mill,358995,172612,Corn mill,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Mill,Corn mill, ,,,35801,Redcliff Corn Mill. The mill stood on the west side of Redcliff Street and is recorded by the 1st edition Ordnance Survey map of the early 1880s.,"(51.450998, -2.5914844)"
1176M,St. Leonard's Churchyard,358728,173015,Churchyard,Med,Medieval 1200-1540,,,,, ,0,,"Religious, Ritual and Funerary",Mixed cemetery,Churchyard, ,,,35867,"The churchyard of St. Leonard on the northern side of Leonard Lane. The churchyard was medieval in origin and had gone out of use by 1567 when it was the garden of Edith Payne (Leech, 1997 142).","(51.454602, -2.5953737)"
1177M,"68, Old Market Street",359627,173125,House,PM2,Post-medieval 1700-1900,,,,, ,1,,Domestic,Dwelling,House,"68, Old Market Street",,1652,35870,"No.68, Old Market Street, located on the southern side of Old Market Street. The building is a single bay house of three storeys with a detached kitchen block and was probably constructed in the first half of the eighteenth century.
In 1875 the building was recorded in the street directory as being occupied by J. H. Bussell, carpenter and builder, and by Miss Elliott, milliner. The Goad fire insurance plan of August 1896 indicates that it was then occupied by a veterinary surgery.","(51.455656, -2.5824486)"
1178M,"7, King Square",358884,173774,House,PM2,Post-medieval 1700-1900,,,,, ,1,,Domestic,Dwelling,House,"7, King Square",,1478,35870,"No.7, King Square. The three-storey house, probably designed by Thomas Paty, was built c.1760 as part of the creation of King Square. The entrance is from Dove Street South and has a portico. To the rear of the building is a possible stable block with a classical, pedimented front.","(51.461437, -2.5932171)"
1179M,"3, King Square",358904,173754,House,PM2,Post-medieval 1700-1900,,,,, ,1,,Domestic,Dwelling,House,"3, King Square",,1478,35870,"No.3, King Square. The three-storey house, probably designed by Thomas Paty, was built c.1760 as part of the creation of King Square.","(51.461259, -2.5929269)"
1180M,Dolman's Yard burial ground,359917,173643,Cemetery,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Funerary site,Cemetery, ,,,38743,"Dolman's or Allen's burial ground. The burial ground was in existence by 1828. Interment there was ended by an Order in Council of 18 February 1854 made under the Burial Act of 1852.
Bristol Museum and Art Gallery holds some human skeletal material reported to be from the burial ground (no accession number is marked on the box), although the circumstances of its collection are unknown","(51.460334, -2.578334)"
1182M,"Circular Stables, Back Fields",359222,173827,Stables,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Animal shed,Stables, ,,,35871,"The Circular Stables at the east end of Back Fields, St. Pauls. The stable building was in existence by the time of the Plumley and Ashmead survey of Bristol of 1828 which shows the building as a circular structure 22 metres in diameter with buildings arranged around an open yard. It was still extant in the early 1880s when it was recorded by the Ordnance Survey first edition 1:500 plan surveyed in 1883 although by this date a building had been constructed in the central yard and some of the original enclosing structure had been demolished.
The stables had been demolished by the early twentieth century, although an arc of outbuildings to the north-west of the main building appears to have survived until at least the First World War.","(51.461938, -2.5883584)"
1184M,"Unity Chapel, Midland Road",359846,173094,Chapel,PM2,Post-medieval 1700-1900,,,,, ,1,,"Religious, Ritual and Funerary",Place of worship,Chapel,Midland Road,,,35871,"Unity Chapel, Midland Road. The building was constructed as a Christian Brethren chapel in the mid- nineteenth century. It was constructed of Pennant sandstone with brick detailing.
The building was demolished in 2002-2003.","(51.455392, -2.5792934)"
1185M,House at the east end of Temple Churchyard,359419,172676,House,PM1,Post-medieval 1540-1700,,,,, ,0,,Domestic,Dwelling,House,Church Road,,,35873,"House located at the eastern end of Temple Churchyard. The building was a two-storey stone rubble building of probable seventeenth-century date (possibly No.6 Ash Lodge by 1906). There was a single three-light mullioned window to each storey and the ground floor was sunken. The building was roofed with clay pantiles.
The building may be identifiable on Millerd's 1673 map of Bristol and seems later to have been subdivided, with the southern end possibly being demolished. By 1906 the property was in the ownership of Bristol Municipal Charities (Costello & Burleigh 1997, 47). It had been demolished by 1959.
The foundations of the building are likely to survive beneath the footway and pavement of Church Street at the east end of Temple Gardens, and the boundary wall of the churchyard here may have reused part of its west wall. This wall had been repointed and appeared also to have been partly rebuilt. This possible remnant element was demolished at the end of the 1990s when the southern wall of Temple Churchyard was reconstructed.","(51.451604, -2.5853904)"
1187M,Powder magazine at Tower Harratz,359601,172697,Powder magazine,PM2,Post-medieval 1700-1900,1722,,,, ,0,,Industrial,Explosives store,Powder magazine,Temple Quay,,,35891,"Powder magazine at Tower Harratz. The magazine was built in 1722 outside the Portwall and on the north side of the possible lodge excavated in 1997. The magazine was erected at a cost of £143 18s. 5d. (Evans 1824) and contained eight individual storage areas, four on both sides of a central passageway. The entrance was on the north, river Avon, side but there was also a communicating doorway with the possible redoubt on the south (BRO 0566(33)y). The store was closed c.1816 when the Bristol Gas Light Company gasworks was built 50 metres to the north-west.","(51.451805, -2.5827738)"
1188M,"Vicarage, Temple Church",359302,172735,Vicarage,Med,Medieval 1200-1540,,,,,Gabled,0,,Domestic,Clergy house,Vicarage,"Norfolk House, Temple Street",,,35982,"The vicarage of Temple Church. The vicarage was located on the north side of Colston Place, opposite the north-west corner of Temple Church. The vicarage was of  two and three storeys with gabled roofs. It was constructed in the medieval period and survived until the beginning of the 1970s. It was surveyed by the Royal Commission on the Historical Monuments of England in 1969 and part of its site was excavated in 1971.","(51.452126, -2.5870809)"
678M,Back Street Gate,358862,172744,Town gate,Med,Medieval 1200-1540,,,,,Unknown,0,,Defence,Town defences,Town gate,Queen Charlotte Street,,,35408,The Back Street Gate. The gate was part of the Marsh Wall and was located at the south end of Back Street (Queen Charlotte Street). It is recorded by James Millerd's 1673 map of Bristol and survived into the early-eighteenth century. The Bristol Corporation ordered its removal in 1738.,"(51.452175, -2.5934136)"
793M,"The Angel Inn, Redcliff Street",359110,172404,Inn,PM2,Post-medieval 1700-1900,,,,,Hipped,0,,Commercial,Inn,Inn,"Portwall Lane Car Park, Phippen Street",,,35360,"The Angel Inn, on Redcliff Street. An old inn, originally outside Redcliff Gate. Attached. By the early C19 was refronted. 3 storeys; 5 bays, with a 6th. at the left-hand, beyond a downpipe or pilaster strip. Parapet. Hipped roof(s). Hooded porch to right of centre. Most windows sashes with raised voussoirs. The garden extended as far east as the Pile Street School, and there were extensive stables, etc.","(51.449136, -2.5898054)"
794M,"82 & 83, Redcliff Street",359105,172377,Houses,PM1,Post-medieval 1540-1700,,,,,Gabled fronts,0,,Domestic,Dwelling,House,Redcliffe Way,,,35360,"Nos. 82 & 83, Redcliff Street, a pair of houses located on the north corner of Pile Street. Attached to the north. 3 storeys; gabled fronts; jettied. Each a 1-window range. Adjacent entrances, with shop windows to the outer edges. Probably one sash each to each upper storey. No attic windows. Left-hand and central eaves on brackets.","(51.448893, -2.5898743)"
795M,"1, Broadmead",358964,173273,House,PM1,Post-medieval 1540-1700,,,,,Cross-gabled,0,,Domestic,Dwelling,House,"108, Broadmead",,,35360,"No.1 Broadmead, located at the corner of Broadmead and St. James Back. Attached to north and east. 2 storeys and attic; one gable each to both frontages, both jettied; 1-window ranges. South elevation. Central entrance between shop windows; large corner bracket. Bay to first-floor and attic, both with 6-light fronts and 2-light sides. West elevation. Central entrance; left-hand window (shuttered). First-floor bay, windows as south elevation. Blocked attic window. Gable not reaching as far down as that facing south, stopping at sill level.","(51.456938, -2.5920074)"
185M,"91, Redcliff Street",359086,172509,House,Med,Medieval 1200-1540,,,,, ,0,,Domestic,Dwelling,House,"92, Redcliff Street",,,37890,"No.91 Redcliff Street, located on the western side of Redcliff Street. The building was a terraced house of medieval date.
The south wall of was recorded during the excavations of 91 Redcliff Street by R. H. Jones in 1983 (BUAD 447). This section of wall aligned east-west with plain walling at the east end, beyond which was an arcade of three arches (1000A). At least the westernmost two were visible on both sides of the wall. The arches consisted of Pennant Sandstone voussoirs only - there was no decorative stonework. On the northern face, between the springings for the second and third arches, was a carved head, interpreted as a corbel. Excavation down the north side of the arcade was carried out, showing that the pier between the first two arches continued for more than a metre below the modern ground level.","(51.450078, -2.590163)"
187M,Church of St. Peter,359125,173097,Parish church,Med,Medieval 1200-1540,,,,,Gabled,1,,"Religious, Ritual and Funerary",Church,Parish church,Castle Park,,21,38033,"The Church of St. Peter, located on the south side of Peter Street. The church is traditionally held to be the oldest church in Bristol and it was first recorded in 1107 when the advowson was granted to Tewkesbury Abbey (Johnson & Cronne 1956, 73-74). Tewkesbury Abbey appears to have exercised its right to appoint through its cell St. James Priory (BUAD 1024M). William Worcestre, writing in 1480, recorded that the church was 54 steps long, omitting the choir, and 30 steps wide (Neale 2000, 134-135).
The church has aisles on the north and south sides of an unclerestoryed nave, each aisle separated from the nave by a four-bay arcade of Perpendicular arches supported by clustered columns, possibly of marble or some other polished stone. The nave has a square three-stage tower at its west end. The building is constructed of Pennant sandstone rubble with limestone ashlar dressings. There has not yet been a detailed archaeological analysis and phasing of the structure. However, the majority of the fabric appears to date to the fifteenth century.
The north aisle is of seven bays, articulated by buttresses, with a deep plinth. The aisle is lit by five-light windows, though there is a large chamfered bullseye window in the central bay. The penultimate bay at the west end is windowless. An octagonal stair tower projects from the north wall of the aisle against the buttress of the second bay from the east. The south aisle is wider than the north aisle and is of six bays with wide five-light windows between the projecting buttresses. It has a five-light late-Perpendicular east window which is blind below the transom. The west ends of both aisles are gabled, and there is a narrow three-light window in the north side, and a five-light window in the south.
The tower is flush with the west ends of the aisles and has ashlar quoins. In the west wall there is a wide Perpendicular arched doorway. Above there is a three-light window with a small two-light window in the second stage. The belfry has a two-light louvred window, a cornice with gargoyles on the corners and a crenellated parapet with crocketed pinnacles. The fabric of the lower element of the tower is thought to be of twelfth-century (or possibly earlier) date.
Relatively little is currently known about the organisation of the interior of the church during the medieval period. The church appears to have had a number of chapels; in 1395 William Poynez instructed that he was to be buried in the ""chapel of the blessed Mary, before the image of St. George"" (Wadley 1886, 55). A survey of the chantries in the church in 1548 recorded that one John Williams had established an anniversary there ""att the awlter of o[ur] ladie of Belhousse"" (Maclean 1883-84, 240-241). Behind the Newton tomb was a piscina. There was a brass to Master Robert Lond, chaplain (d.1461) and other brasses are recorded. In 1845 a finely decorated canopied niche [1005A] was found at the west end of the north aisle and during repair works in 1901 a Gothic doorway on the north side of the chancel, a piscina [1004A], and a suspected credence niche were found (Pritchard 1904, 131-132).
After the dissolution of St. James, the advowson of the rectory was acquired by Henry Brayne as part of his purchase of the St. James property in 1544. By the mid- sixteenth century there were 400 parishioners (Maclean, 1883-84 240) and the early-modern period is known to have seen a number of alterations to the fabric. At the east end of the south aisle south wall a large monument to Lady Antholin Newton of Barr's Court was erected in the 1570s or 1580s; against much of the east wall of the same aisle was a large monument to Alderman Robert Aldworth (d.1634) and his wife Martha (d.1619) (BRSMG M2667; Stoddard, 2001 35). Between the Newton and Aldworth monuments was the effigy of a priest. A substantial and ornate oak reredos was constructed in 1697 (Dening 1923, 121-123) and in 1698 the pews in the church were replaced with box pews which were still in place in the early nineteenth century (BRSMG M2670; Stoddard 2001, 34). In 1729 the peal of eight bells in the tower was recast by Abraham Rudhall. In 1912 a highly decorative Gothic traceried choir screen was erected. In the late-nineteenth or early-twentieth century a memorial to the poet Richard Savage (c1697-1743) was fixed to the exterior wall of the south aisle. The memorial bears the legend ""IN MEMORY OF RICHARD SAVAGE/POET BURIED NEAR THIS SPOT/ AUG 2nd 1743."" A boiler house was created beneath the west end of the south aisle (now filled in).
St. Peter's was one of the city centre churches gutted by bombing on the night of 24/25 November 1940. After the war the structure was stabilised, the base of the tower and arcades being reinforced with concrete, and left as a shell without a roof or reglazing. The Newton and Aldworth monuments were left in situ, suffering damage from weathering. In 1958 the Aldworth tomb was removed and elements placed in the collections of Bristol Museum and Art Gallery. The Newton tomb was moved into St. Nicholas Church museum in 1969. The church was subsequently designated as a memorial to the Second World War by Bristol City Council. On the west wall of the church is an inscribed slate plaque bearing the legend: ""IN/MEMORY OF THE/CITIZENS OF BRISTOL/AND/SURROUNDING AREAS/WHO DIED/IN THE BLITZ/DURING/THE 1939-1945 WAR"".
The church has a Grade II* listing (Listed Building number 901-1/40/184).","(51.455368, -2.5896699)"
188M,Court Sampson,359160,172709,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,"25, Redcliff Street",,,35255,"The Court Sampson tavern, No.119 St. Thomas Street. The building was a house of three storeys and attic, with a slightly jettied frontage and a gabled roof. It was probably built in the seventeenth century.
In the front room over the bar was a moulded wood chimney-piece bearing the initials ' I. G.', with, over, the date 1669. The building was demolished in early 1914 and was visited by John Pritchard shortly before (BUAD 678). It then belonged to the Bristol Municipal Charities, and ""would have been saved had it not been beyond repair"" (Pritchard 1920, 139).","(51.451882, -2.5891213)"
189M,"Statue of John Cabot, Narrow Quay",358562,172395,Statue,Mod,Modern 1900-,1985,,,, ,1,,"Gardens, parks and urban spaces",Sculpture,Statue,Narrow Quay,,,38964,"Statue of John Cabot, located at the south end of Narrow Quay. The statue is a bronze figure of Cabot seated on a projecting (bronze) timber and was sculpted by Stephen Joyce FRBS, a locally-based artist. The sculpture was erected in 1985 (Merritt 2002, 54-55).","(51.449015, -2.5976897)"
18M,"Llandoger Trow, 5 King Street",358873,172713,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,1,,Domestic,Dwelling,House,"Llandoger Trow, 5 King Street",,317,35223,"No.5 King Street, located on the south side of King Street. The building was constructed c1665 as part of a terrace of five houses. Timber-framed front. Gabled to front and rear.
The building now forms part of the public house known as the Llandoger Trow.","(51.451897, -2.5932517)"
191M,"The Elton Mansion, No.7 Small Street",358741,173068,House,PM1,Post-medieval 1540-1700,,1908,,,Not recorded,0,,Domestic,Dwelling,House,"The Crown Courts, Small Street",,,35256,"The Elton Mansion, No.7 Small Street. The street frontage was rendered, with a short plinth, the whole elevation one with that of No.8. The property was purchased by Sir Abraham Elton from Sir Thomas Cann in 1700, the house having been occupied previously by Richard Streamer. On the ground-floor, a central arched vehicle entrance with double doors; a large window to each side. Three tall first-floor windows; two second-floor windows, above the outer ones of the floor below; similar mouldings to the window openings on both storeys, with decorative keystones.
An ornate stone chimney-piece (BUAD 1006A), in a first-floor room, used as a board-room, was removed to the company's new building at Telephone Avenue, to be installed in the board-room there. Another example, carrying the arms of the city and the Merchant Venturers, was likewise relocated. The wood panelling and fine plaster ceiling and frieze of the principal room were acquired by Sir E. H. Elton, Bart., of Clevedon Court. 
The building was last occupied by the Bristol Waterworks Company. It was removed for the Post Office extension in 1908.","(51.455079, -2.5951928)"
193M,"8, Small Street",358737,173071,House,PM1,Post-medieval 1540-1700,,1908,,,Not recorded,0,,Domestic,Dwelling,House,"The Crown Courts, Small Street",,,35256,"No.8 Small Street. The street frontage was rendered, with a short plinth, the whole elevation one with that of No.7. On the ground-floor, a large window on the left; a central entrance; on the right the arched entry to a corridor (leading to St.Werburgh's Chambers). Two tall first-floor windows, left and centre, an unidentified opening on the right. One central second-floor window, similar to those at No.7; similar mouldings to the window openings on both storeys, with decorative keystones, as at No.7. Two small features, possibly windows, at second-floor, either side of main window. Coping to top of elevation. The building was removed for the construction of an extension to the Post Office in 1908.","(51.455106, -2.5952507)"
679M,Rope House,358912,172749,Ropery,PM1,Post-medieval 1540-1700,,,,,Unknown,0,,Industrial,Rope manufacturing site,Ropery,King Street,,,35408,"The Rope House. The structure stood against the south face of the town wall known as the Marsh Wall. There were buildings on the east and west sides of a central courtyard and a further building against the Marsh Wall. A wall on the south side of the courtyard, divided it from King Street, and this had a gateway in the centre. The Mayor's Audit of 1556-1557 records that the rope house had ""an essemente in the highe wey to seyne Ropes a dore and a entry into a stable in the mershe with a esemente in the towne wall"" (Livock (ed.), 1966, 4).","(51.452223, -2.5926947)"
67M,"Drill Hall, Queen's Road",358072,173194,Drill hall,PM2,Post-medieval 1700-1900,,,,,Not recorded,0,,Defence,Military training site,Drill hall,"Wills Memorial Building, Queen's Road",,,35305,Drill Hall located approximately 50 metres to the north of Queen's Road. The drill hall was in existence by the early 1880s and was a retangular building measuring approximately 45 metres from north-west to south-east by 28 metres wide. It was demolished to make way for the Wills Memorial Building in the early 1920s.,"(51.456163, -2.6048355)"
680M,Marsh Street Gate,358656,172718,Town gate,Med,Medieval 1200-1540,,,,,Unknown,0,,Defence,Town defences,Town gate,Marsh Street,,,35408,"The Marsh Street Gate, located at the southern end of Marsh Street. The gate was one of the gates through the town wall known as the Marsh Wall. According to William Worcestre, writing in the 1480s, the road narrowed to 4.8 metres beneath the gate but he gives no other details (Neale 2000, 204-205). The gate still stood in 1673 but it had been removed by the early 1740s.","(51.451926, -2.596375)"
681M,St. Peter's Pump (original),359084,173091,Well,Med,Medieval 1200-1540,,,,,Unknown,0,,Water Supply and Drainage,Water storage site,Well, ,,,35409,"The original St. Peter's Pump. The medieval well was sited at the west end of Peter Street, in the centre of the highway.","(51.455311, -2.5902592)"
682M,"Conduit Head, All Saint's Conduit",358864,173027,Conduit head,Med,Medieval 1200-1540,,,,,Pentice,0,,Water Supply and Drainage,Water regulation installation,Conduit head,Corn Street,,,35409,"Conduit Head, All Saint's Conduit. The conduit head was built in front of the Tolzey on the south side of Corn Street. It is recorded in one of the vignettes in the border of Millerd's map of Bristol of 1673 as an elaborately decorated two-bay structure with what appears to be the royal arms above.","(51.454719, -2.5934179)"
837M,"Warehouse, No.16 Welsh Back",358915,172820,Warehouse,PM2,Post-medieval 1700-1900,,,,,Unknown,0,,Commercial,Warehouse,Warehouse,"15-21, Queen Charlotte Street",,,35374,"No.16, Welsh Back. An attached warehouse. C19. 5 storeys; rubble front with parapet; 3-window range; strings between storeys. A  right-hand wide entrance at ground-floor, 2 windows to left; other floors with a central entrance and one window either side.","(51.452862, -2.5926598)"
838M,"Warehouse, No.17 Welsh Back",358913,172815,Warehouse,PM2,Post-medieval 1700-1900,,,,,Unknown,0,,Commercial,Warehouse,Warehouse,"15-21, Queen Charlotte Street",,,35374,"No.17, Welsh Back. An atttached warehouse. C19. 5 storeys; possibly with a hipped roof; parapet; 3-window range. The first 4 floors with a central entrance and one window either side, the top floor all window. Possibly a rubble facade.","(51.452817, -2.592688)"
1458M,"Malthouse, Constitution Hill",357688,172824,Malt house,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brewing and malting site,Malt house,Constitution Hill,,,37628,Malthouse located on the south side of Constitution Hill. The malthouse was in existence by 1883 and is recorded by the Ordnance Survey first edition 1:500-scale plan (Bristol Sheet LXXI.16.22).,"(51.452807, -2.6103174)"
1459M,"Smithy, John Carrs Terrace",357738,172931,Blacksmiths workshop,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Metal workers workshop,Blacksmiths workshop,John Carrs Terrace,,,37628,"Smithy, located to the south of John Carrs Terrace. The smithy was in existence by 1883 and is recorded by the Ordnance Survey first edition 1:500-scale plan (Bristol Sheet LXXI.16.22).","(51.453773, -2.6096107)"
1460M,"Clay pit, Rosebery Terrace",357766,172959,Clay pit,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Clay extraction site,Clay pit,"Rosebery Terrace, John Carrs Terrace",,,37628,"A clay pit, located on the site of Rosebery Terrace, on the eastern side of John Carrs Terrace. The clay pit was in existence by 1883 and is recorded by the Ordnance Survey first edition 1:500-scale plan (Bristol Sheet LXXI.16.22) which names it as ""Old Clay Pit"".","(51.454027, -2.6092111)"
1461M,"Police Station, Jacobs Wells Road",357745,172847,Police station,PM2,Post-medieval 1700-1900,,,,, ,1,,Civil,Legal site,Police station,Jacobs Wells Road,,,37628,"Police station, located on the eastern side of Jacobs Wells Road. The police station was in existence by 1883 and is recorded by the Ordnance Survey first edition 1:500-scale plan (Bristol Sheet LXXI.16.22). It is constructed of Pennant sandstone rubble with ashlar dressings.","(51.453018, -2.6094999)"
1465M,"15, King Street",358792,172697,House,PM1,Post-medieval 1540-1700,,,,, ,1,,Domestic,Dwelling,House,14-15 King Street,,,37638,"No.15, King Street, located on the southern side of King Street. The building was a house constructed in the mid-seventeenth century. It was of three storeys and attic and probably had a common rafter roof.
No.14 (BUAD 170M) and No.15 King Street were amalgamated into a single warehouse during the nineteenth century and a new façade created. This is of Pennant sandstone ashlar and squared rubble, with red brick and limestone dressings and has a four-window range. The ground-floor windows are in segmental-arched openings while the upper floor is divided by four two-storey semicircular-arched recesses, with alternate brick and limestone dressings. Several of the internal walls of both buildings appear to have been removed at the same time to create open-plan spaces and cast-iron columns (with flanges to pillows and timber floor beams) seven bays deep support the first-floor. The seventeenth-century second and third floors were also removed and a new floor for the warehouse inserted at a level between them.
The northern part of the seventeenth century building is in part extant. The former west wall of No.15 survives and contains a seventeenth-century chimney breast. The roof against the street front is hipped with a gable at its south end.
The building has a Grade II listing (Listed Building number 901-1/16/600).","(51.451747, -2.5944155)"
1621M,"Transit shed, Cumberland Basin",356888,172280,Transit shed,PM2,Post-medieval 1700-1900,,,,, ,0,,Unassigned,Building,Shed, ,,,38463,"Transit shed, Cumberland Basin. The transit shed stood on the south side of Cumberland Basin, at the western end by the southern entrance lock to the Basin. It was recorded by the Ordnance Survey first edition 1:500 scale plan (Bristol Sheet (LXXV.4.6) and measured 37 metres from east to west and was around 15 metres wide.","(51.447856, -2.6217633)"
1622M,"Dewpond, 50 metres south of Priory Road",358019,173523,Dewpond,PM2,Post-medieval 1700-1900,,,,, ,0,,Water Supply and Drainage,Pond,Dewpond, ,,,38463,"Dewpond, located 50 metres south of Priory Road. The dewpond is recorded by the Ordnance Survey first edition 1:500 scale plan (Bristol Sheet LXXI.16.13) and measured 11.9 metres long and 4 metres wide.","(51.459117, -2.6056374)"
1623M,"Resin Works, White Street",359885,173750,Resin works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Industrial building,Works, ,,,38463,"Resin Works, located at the eastern end of White Street, St. Jude's. It was recorded by the Ordnance Survey first edition 1:500 scale plan (Bristol Sheet (LXII.13.12).","(51.461293, -2.5788068)"
1625M,Earlsmead Tannery,359870,173642,Tannery,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Leather industry site,Tannery, ,,,38463,Earlsmead Tannery.,"(51.460321, -2.5790104)"
876M,Pickford's Warehouse,358644,173108,Warehouse,PM2,Post-medieval 1700-1900,,,,,Hipped mansard,0,,Commercial,Warehouse,Warehouse,"Esso Building, Colston Avenue",,,35387,"Warehouse. At the northern end of the western side of Colston Avenue. C19. Pickford & Co., also London & North Western Railway. Attached. 3 storeys, attic and basement; 2-bay facade. A right-hand wide entrance; a segmental-headed window to the left, above a segmental-headed cellar access with double doors. Entrances with double doors to right-hand at both first and second floors, served by a hand-crane or hoist to the right. A pair of sashes with stepped voussoirs to first and second floors. Behind a parapet, a hipped mansard roof with 3 dormers to the front. Burnt down in 1905 (Winstone,32,pl.92).","(51.455432, -2.5965934)"
877M,John Wright (The Stonebridge Press),358648,173118,Printing works,PM2,Post-medieval 1700-1900,,,,,Hipped & clerestory,0,,Industrial,Printing and publishing site,Printing works,"Esso Building, Colston Avenue",,,35387,"Printing works. At the northern end of the western side of Colston Avenue, immediately north of the warehouse of Messrs. Pickfords. C19. Occupied by John Wright (The Stonebridge Press). Attached. 3 storeys; 7-window range; hipped roof with clerestory. A rusticated ground-floor and quoins. A round-headed entrance either side of a wide 2-storey round-arched opening with simple tracery. A pair of round-arched windows either side at first-floor. 7 round-arched second-floor windows, arranged 2+3+2, the middle trio with enlarged keystones. Parapet. Burnt out in 1905, restored, and later Blitzed (Winstone,32,pl.92).","(51.455522, -2.596537)"
879M,Baker Baker's Store,358980,173080,Department store,PM2,Post-medieval 1700-1900,,,,,Not recorded,0,,Commercial,Shop,Department Store,"Bank House, Wine Street",,,35388,"Baker Baker's Department Store. Late C19. Facing Wine Street, running westwards from the corner of Cheesemarket. Attached. 4 storeys; an unknown number of bays/windows. Curved around the corner into Cheesemarket. Large plate-glass shop windows, with several entrances including one on the corner. Square piers, with capitals, between the windows on all upper floors, windows square-headed. Balustrading beneath all third-floor windows. Parapet. At least the one chimney-stack.","(51.455204, -2.5917547)"
87M,Water Lane Pottery,359400,172745,Pottery works,PM1,Post-medieval 1540-1700,,,,,Not recorded,0,,Industrial,Pottery manufacturing site,Pottery works,"Crescent Centre, Temple Back",,,35313,"The Water Lane pottery, located to the east of Temple Church, on the eastern side of Petticoat Lane. The pottery was founded around 1683 by Edward Ward and was handed through the Ward family until it was leased to Thomas Cantle in 1746. It was sold in March 1751 with Cantle as tenant and he remained in occupation until 1756. The pottery was then taken over by William Taylor until it seems to have been amalgamated with the next door Temple Back pottery by Richard Frank. As part of the Temple Back Pottery [BUAD 86M] it continued to work until 1886.","(51.452223, -2.5856718)"
882M,Y.M.C.A. Hall,359112,173553,Public hall,PM2,Post-medieval 1700-1900,,,,,Gabled,0,,Civil,Meeting hall,Public hall,Bond Street,,,35388,"The Y.M.C.A. Hall, at the rear of No.4, St. James Square, with one end on the alley that connected with St. James Barton. A large hall with a stage and balconies. Side windows, and, at the end, above the stage, 3 large windows, the outers with segmental heads, the middle being round-headed. Probably internally a wagon roof or similar, gabled externally (Winstone 1983, pl.127). Reading rooms, class rooms and offices lay between the hall and the Square. Now beneath the very wide pavement beside Bond Street.","(51.459467, -2.5899099)"
883M,"10-13, Broadmead",359014,173302,Houses,PM1,Post-medieval 1540-1700,,,,,Gabled fronts,0,,Domestic,Dwelling,House,"94-98, Broadmead",,,35388,"A terrace of four houses, all with ground-floor shops. Nos.10 to 13, on the north side of Broadmead. C17. Attached. Gabled fronts (in pairs, as 2 M-shaped roofs); jettied; each a 2-window range. Lateral stacks at ends/ centre, the front central stack being tall. Shopfronts to the ground-floors. Pairs of sashes to first and second floors; single sashes to attics. In front of Broadmead Baptist Church.","(51.457203, -2.5912912)"
